Company,Website
AbbVie Inc.,abbvie.com
Academic Health Science Networks,Don't have a URL
Acorda Therapeutics,Official website
Actelion,www.actelion.com
Active ingredient,Don't have a URL
Aderis Pharmaceuticals,Don't have a URL
ADInstruments,Don't have a URL
Agence française de sécurité sanitaire des produits de santé,Don't have a URL
Agence Nationale de Sécurité du Médicament et des Produits de Santé,Don't have a URL
Aggregate Spend,Don't have a URL
Agricultural biotechnology,Don't have a URL
Agriculture and Agri-Food Canada,agr.gc.ca
Alcon,www.alcon.com
Alder Biopharmaceuticals,Don't have a URL
Alexion Pharmaceuticals,www.alxn.com
Alkermes (company),Don't have a URL
Allergan  Inc.,www.allergan.com
Alta Partners,Don't have a URL
ALZA,Don't have a URL
Amgen,www.amgen.com
Amicus Therapeutics,amicusrx.com
Amylin Pharmaceuticals,www.amylin.com
Arcadia Biosciences,arcadiabio.com
ARIAD Pharmaceuticals,Don't have a URL
Asilomar Conference on Recombinant DNA,Don't have a URL
Association of the British Pharmaceutical Industry,Don't have a URL
Astellas Institute for Regenerative Medicine,Official website
Astellas Pharma,Official website
AstraZeneca,Official website
Avax Technologies,Don't have a URL
Baxter International,baxter.com
Bayer,Official website
Beacon Pharmaceuticals,beaconpharma.com.bd
Becton Dickinson,bd.com
Bikanta,bikanta.com
The Billion-Dollar Molecule,Don't have a URL
Bioavailability,Don't have a URL
BioCryst Pharmaceuticals,Official website
Bioequivalence,Don't have a URL
Biogen,www.biogen.com
Biolex,Don't have a URL
Biological hazard,Don't have a URL
Biomanufacturing,Don't have a URL
BioMarin Pharmaceutical,BioMarin.com
Biopharmaceutical,Don't have a URL
Biosciences Federation,Don't have a URL
Biosimilar,Don't have a URL
Biotech Sweden,Don't have a URL
Biotechnology,Don't have a URL
Biotechnology and Biological Sciences Research Council,bbsrc.ac.uk
Biotechnology Innovation Organization,Don't have a URL
Biotechnology Regulatory Authority of India,Don't have a URL
BioViva,Official website
BIT Life Sciences,www.bitlifesciences.com
Board on Science  Technology  and Economic Policy,Don't have a URL
The Boston Foundation,Don't have a URL
Boston Scientific,Don't have a URL
Bristol-Myers Squibb,www.bms.com
Burr  Egan  Deleage & Co.,Don't have a URL
Business Roundtable,Official website
Caliper Life Sciences,Official website
CareFusion,Don't have a URL
Cedarlane Laboratories,www.cedarlanelabs.com
Celera Corporation,Don't have a URL
Celgene,www.celgene.com
Celltrion Healthcare,celltrionhealthcare.com
Center for Biologics Evaluation and Research,Official website
Center for Drug Evaluation and Research,Don't have a URL
Charles River Laboratories,Don't have a URL
Chemical leasing,Don't have a URL
Biotechnology industry in China,Don't have a URL
Cleanliness suitability,Don't have a URL
CSIRO,Official website
Cubist Pharmaceuticals,Don't have a URL
Cytosorbents Corporation,Don't have a URL
DARPA,www.darpa.mil
Directive on the legal protection of biotechnological inventions,Don't have a URL
Diversified Pharmaceutical Services,Don't have a URL
Doheny Eye Institute,doheny.org
Drug development,Don't have a URL
Drug discovery,Don't have a URL
Drug distribution,Don't have a URL
Eisai (company),Official website
Eli Lilly and Company,Don't have a URL
